sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Abuta grandifolia,Abuta,MENISPERMACEAE,1,2,3,0,2,2,1,2,1,5,2,0,0.877229801,0.026232949,0.094438615,0.001049318,TropicalHumid,TropicalHumid,Tropical humid forest
Abuta rufescens,Abuta,MENISPERMACEAE,0,2,3,0,2,2,1,2,0,1,3,4,0.96875,0.01875,0.0125,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Acanthosyris falcata,Acanthosyris,SANTALACEAE,1,2,1,0,2,1,1,2,1,4,2,0,0.0,0.264705882,0.647058824,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Acanthosyris glabrata,Acanthosyris,SANTALACEAE,1,2,1,0,1,1,1,2,1,5,2,2,0.5,0.428571429,0.0,0.071428571,TropicalHumid,,Tropical dry forest
Acioa guianensis,Acioa,CHRYSOBALANACEAE,1,2,3,0,2,3,1,2,0,2,0,2,0.909090909,0.0,0.0,0.090909091,TropicalHumid,TropicalHumid,Tropical humid forest
Acmanthera latifolia,Acmanthera,MALPIGHIACEAE,1,2,3,0,2,0,0,2,1,5,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Actinostemon amazonicus,Actinostemon,EUPHORBIACEAE,0,2,1,0,2,1,1,2,0,1,1,1,0.96969697,0.0,0.03030303,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Actinostemon klotzschii,Actinostemon,EUPHORBIACEAE,0,2,3,0,2,0,1,1,0,5,0,5,0.827586207,0.013793103,0.144827586,0.0,TropicalHumid,TropicalHumid,Tropical dry forest
Adelia triloba,Adelia,EUPHORBIACEAE,1,2,3,0,2,1,1,2,0,2,0,4,0.807471264,0.140804598,0.0,0.017241379,TropicalHumid,TropicalHumid,Tropical humid forest
Adelobotrys macrantha,Adelobotrys,MELASTOMATACEAE,1,2,3,0,2,2,1,1,1,5,0,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Adenaria floribunda,Adenaria,LYTHRACEAE,0,2,3,0,2,1,0,0,0,5,0,1,0.61380597,0.166044776,0.123134328,0.001865672,TropicalHumid,TropicalHumid,
Adenocalymma divaricatum,Adenocalymma,BIGNONIACEAE,0,1,3,0,2,1,1,1,1,5,2,5,0.338235294,0.323529412,0.029411765,0.0,TropicalHumid,,Tropical dry forest
Adiscanthus fusciflorus,Adiscanthus,RUTACEAE,1,2,1,0,2,0,1,2,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aegiphila verticillata,Aegiphila,LAMIACEAE,0,2,3,0,2,1,1,1,1,5,2,3,0.301412873,0.081632653,0.372056515,0.007849294,TropicalHumid,,Tropical dry forest
Agarista revoluta,Agarista,ERICACEAE,0,2,3,1,1,1,1,1,1,5,2,4,0.763157895,0.006578947,0.0,0.026315789,TropicalHumid,TropicalHumid,
Agonandra brasiliensis,Agonandra,OPILIACEAE,1,2,3,0,2,1,1,2,0,5,1,0,0.28,0.138666667,0.501333333,0.016,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Aiouea impressa,Aiouea,LAURACEAE,1,2,3,0,2,2,1,1,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea discolor,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,1,0,5,0,1,0.667655786,0.050445104,0.160237389,0.008902077,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea glandulosa,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,0,0,5,1,4,0.896204493,0.03718048,0.05577072,0.005422153,TropicalHumid,TropicalHumid,
Alchornea latifolia,Alchornea,EUPHORBIACEAE,0,2,3,0,2,3,1,0,0,5,0,1,0.885527392,0.037612428,0.003270646,0.008176615,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea sidifolia,Alchornea,EUPHORBIACEAE,0,2,3,0,2,2,1,0,1,5,1,1,0.974619289,0.0,0.015228426,0.010152284,TropicalHumid,TropicalHumid,Tropical humid forest
Alchornea triplinervia,Alchornea,EUPHORBIACEAE,1,2,3,0,2,2,1,1,1,1,0,2,0.6507431,0.052016985,0.106687898,0.00955414,TropicalHumid,TropicalHumid,
Alchorneopsis floribunda,Alchorneopsis,EUPHORBIACEAE,1,2,3,0,2,2,1,0,0,3,1,4,0.974056604,0.002358491,0.016509434,0.002358491,TropicalHumid,TropicalHumid,Tropical humid forest
Alfaroa costaricensis,Alfaroa,JUGLANDACEAE,1,2,1,0,2,2,1,1,1,1,1,4,0.994475138,0.005524862,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alibertia curviflora,Alibertia,RUBIACEAE,1,2,3,0,2,1,1,2,0,1,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alibertia edulis,Alibertia,RUBIACEAE,1,2,3,0,2,2,1,2,0,1,1,4,0.477456647,0.122157996,0.267822736,0.01734104,TropicalHumid,TropicalHumid,
Allantoma decandra,Allantoma,LECYTHIDACEAE,1,2,3,0,2,2,1,1,0,1,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Allantoma lineata,Allantoma,LECYTHIDACEAE,1,2,3,0,2,1,1,1,0,2,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Allophylus cominia,Allophylus,SAPINDACEAE,0,2,3,0,2,1,0,1,1,5,0,0,0.770731707,0.17398374,0.0,0.021138211,TropicalHumid,TropicalHumid,Tropical dry forest
Allophylus floribundus,Allophylus,SAPINDACEAE,1,2,3,0,2,1,0,1,0,5,0,2,0.943521595,0.03986711,0.013289037,0.0,TropicalHumid,TropicalHumid,
Alseis peruviana,Alseis,RUBIACEAE,1,2,3,0,2,1,0,1,0,5,2,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Alseis pickelii,Alseis,RUBIACEAE,0,2,3,0,2,0,0,1,0,5,1,3,0.658385093,0.02484472,0.0,0.099378882,TropicalHumid,TropicalHumid,Tropical dry forest
Alseis yucatanensis,Alseis,RUBIACEAE,1,2,3,0,2,1,1,1,0,5,2,2,0.940721649,0.046391753,0.0,0.005154639,TropicalHumid,TropicalHumid,
Alvaradoa amorphoides,Alvaradoa,PICRAMNIACEAE,1,2,1,0,2,1,1,1,0,5,1,2,0.175937904,0.644243208,0.0,0.006468305,TropicalDry,TropicalHumid,Tropical dry forest
Amaioua glomerulata,Amaioua,RUBIACEAE,1,2,3,0,2,1,1,2,0,1,2,4,0.9,0.0,0.1,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Amaioua guianensis,Amaioua,RUBIACEAE,1,2,1,0,2,1,1,2,0,1,2,4,0.607361963,0.201431493,0.13190184,0.005112474,TropicalHumid,TropicalHumid,
Amanoa glaucophylla,Amanoa,PHYLLANTHACEAE,1,2,3,0,2,2,1,2,0,5,1,4,0.1,0.0,0.8,0.0,TropicalGrasslands,TropicalHumid,
Amanoa guianensis,Amanoa,PHYLLANTHACEAE,1,2,3,0,2,2,1,2,0,1,1,4,0.828442438,0.015801354,0.094808126,0.0248307,TropicalHumid,TropicalHumid,Tropical humid forest
Ampelocera edentula,Ampelocera,ULMACEAE,1,2,3,0,2,2,1,2,1,3,1,2,0.947692308,0.033846154,0.006153846,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ampelocera hottlei,Ampelocera,ULMACEAE,1,2,3,0,2,1,1,1,1,1,2,0,0.900584795,0.081871345,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Amphilophium crucigerum,Amphilophium,BIGNONIACEAE,0,0,1,0,2,3,1,1,1,4,2,2,0.646962233,0.083743842,0.121510673,0.013136289,TropicalHumid,TropicalHumid,
Amphipterygium adstringens,Amphipterygium,ANACARDIACEAE,1,2,3,2,2,1,0,1,1,5,2,2,0.013623978,0.896457766,0.0,0.016348774,TropicalDry,TropicalDry,Tropical dry forest
Amphirrhox longifolia,Amphirrhox,VIOLACEAE,1,2,1,1,0,0,0,1,0,5,1,1,0.952622673,0.0,0.035532995,0.008460237,TropicalHumid,TropicalHumid,Tropical humid forest
Amphitecna donnell-smithii,Amphitecna,BIGNONIACEAE,1,2,3,0,2,1,1,1,1,5,0,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Amphitecna regalis,Amphitecna,BIGNONIACEAE,1,2,3,0,2,1,1,1,1,0,0,0,0.939393939,0.0,0.0,0.03030303,TropicalHumid,TropicalHumid,Tropical humid forest
Amphitecna tuxtlensis,Amphitecna,BIGNONIACEAE,1,2,3,0,2,2,1,1,1,5,1,0,0.947368421,0.0,0.0,0.013157895,TropicalHumid,TropicalHumid,
Anacardium excelsum,Anacardium,ANACARDIACEAE,1,2,3,0,2,2,1,1,1,5,1,3,0.773987207,0.123667377,0.02771855,0.019189765,TropicalHumid,TropicalHumid,Tropical humid forest
Anacardium giganteum,Anacardium,ANACARDIACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.936170213,0.0,0.056737589,0.007092199,TropicalHumid,TropicalHumid,Tropical humid forest
Anacardium occidentale,Anacardium,ANACARDIACEAE,1,2,3,0,2,3,1,1,1,5,1,5,0.466539197,0.013384321,0.292543021,0.070745698,TropicalHumid,TropicalHumid,
Anacardium parvifolium,Anacardium,ANACARDIACEAE,1,2,3,0,2,3,0,0,1,5,0,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Anacardium spruceanum,Anacardium,ANACARDIACEAE,1,2,3,0,2,2,1,0,1,5,0,2,0.967741935,0.0,0.032258065,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Anaxagorea acuminata,Anaxagorea,ANNONACEAE,1,2,3,0,2,1,1,1,0,3,2,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Anaxagorea dolichocarpa,Anaxagorea,ANNONACEAE,1,2,3,0,2,1,1,2,0,3,2,2,0.934557979,0.002296211,0.006888634,0.025258324,TropicalHumid,TropicalHumid,Tropical humid forest
Anemopaegma chamberlaynii,Anemopaegma,BIGNONIACEAE,1,2,3,0,2,2,0,1,1,5,1,5,0.725663717,0.026548673,0.191740413,0.017699115,TropicalHumid,TropicalHumid,Tropical dry forest
Anemopaegma prostratum,Anemopaegma,BIGNONIACEAE,0,2,3,0,2,2,0,1,1,5,2,5,0.796116505,0.019417476,0.145631068,0.009708738,TropicalHumid,TropicalHumid,
Aniba affinis,Aniba,LAURACEAE,1,2,3,0,2,2,0,2,1,5,1,2,0.98,0.0,0.02,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aniba hypoglauca,Aniba,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Anisophyllea manausensis,Anisophyllea,ANISOPHYLLEACEAE,1,2,3,0,2,3,1,2,1,1,3,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Annona cacans,Annona,ANNONACEAE,0,2,3,0,2,1,1,1,1,1,2,3,0.802631579,0.021929825,0.166666667,0.0,TropicalHumid,TropicalHumid,
Annona cherimola,Annona,ANNONACEAE,0,2,3,0,2,1,1,1,1,4,2,0,0.804511278,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Annona coriacea,Annona,ANNONACEAE,1,2,3,0,2,1,1,1,0,3,2,2,0.20773639,0.035816619,0.56017192,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Annona crassiflora,Annona,ANNONACEAE,1,2,3,0,2,1,1,1,0,1,2,5,0.13220339,0.023728814,0.786440678,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Annona emarginata,Annona,ANNONACEAE,1,2,3,0,2,1,1,1,0,1,2,0,0.603448276,0.022988506,0.32183908,0.0,TropicalHumid,,
Annona glabra,Annona,ANNONACEAE,1,2,3,0,2,2,1,1,1,1,2,2,0.471111111,0.137777778,0.005925926,0.195555556,TropicalHumid,TropicalHumid,
Annona hypoglauca,Annona,ANNONACEAE,1,2,3,0,2,2,1,1,1,1,2,2,0.978835979,0.002645503,0.018518519,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Annona jahnii,Annona,ANNONACEAE,0,2,3,0,2,2,1,1,1,1,2,0,0.257142857,0.1,0.642857143,0.0,TropicalGrasslands,TropicalHumid,Tropical humid forest
Annona montana,Annona,ANNONACEAE,0,2,3,0,2,2,1,1,1,3,2,0,0.64785553,0.081264108,0.148984199,0.036117381,TropicalHumid,TropicalHumid,
Annona muricata,Annona,ANNONACEAE,1,2,3,0,2,2,1,1,1,2,2,2,0.77173913,0.076086957,0.016304348,0.016304348,TropicalHumid,TropicalHumid,Tropical humid forest
Annona neosericea,Annona,ANNONACEAE,0,2,3,0,2,2,1,1,0,1,2,2,0.97037037,0.0,0.007407407,0.022222222,TropicalHumid,TropicalHumid,Tropical humid forest
Annona purpurea,Annona,ANNONACEAE,1,2,3,0,2,2,1,1,1,1,2,0,0.384615385,0.429864253,0.013574661,0.018099548,TropicalHumid,,
Annona squamosa,Annona,ANNONACEAE,1,2,3,0,2,2,1,1,0,3,2,2,0.187969925,0.721804511,0.003759398,0.030075188,TropicalDry,TropicalHumid,Tropical dry forest
Annona sylvatica,Annona,ANNONACEAE,0,2,3,0,2,1,1,0,1,3,2,0,0.787709497,0.027932961,0.148044693,0.0,TropicalHumid,TropicalHumid,
Anthodiscus amazonicus,Anthodiscus,CARYOCARACEAE,1,2,3,0,2,2,1,2,1,5,1,4,0.970149254,0.014925373,0.0,0.014925373,TropicalHumid,TropicalHumid,Tropical humid forest
Anthodon decussatum,Anthodon,CELASTRACEAE,1,2,1,0,2,2,1,1,1,4,3,3,0.522058824,0.382352941,0.058823529,0.0,TropicalHumid,,
Antonia ovata,Antonia,LOGANIACEAE,1,2,3,0,2,1,1,0,0,5,0,5,0.29973822,0.062827225,0.528795812,0.001308901,TropicalGrasslands,TropicalGrasslands,
Antrocaryon amazonicum,Antrocaryon,ANACARDIACEAE,1,2,3,0,2,2,0,1,1,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aparisthmium cordatum,Aparisthmium,EUPHORBIACEAE,1,2,1,0,2,2,1,1,0,1,0,4,0.902985075,0.025101764,0.028493894,0.006105834,TropicalHumid,TropicalHumid,Tropical humid forest
Aphananthe monoica,Aphananthe,CANNABACEAE,0,1,3,0,2,1,1,1,1,1,1,2,0.469273743,0.290502793,0.0,0.002793296,TropicalHumid,TropicalHumid,
Aptandra liriosmoides,Aptandra,OLACACEAE,1,2,3,0,2,2,1,2,1,1,1,1,0.956521739,0.0,0.043478261,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aptandra tubicina,Aptandra,OLACACEAE,1,2,1,0,2,2,1,2,1,1,1,2,0.963414634,0.008130081,0.012195122,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aspidosperma album,Aspidosperma,APOCYNACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.966101695,0.0,0.033898305,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aspidosperma araracanga,Aspidosperma,APOCYNACEAE,0,2,3,0,2,2,1,2,1,5,1,2,0.947368421,0.0,0.052631579,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Aspidosperma australe,Aspidosperma,APOCYNACEAE,1,2,3,0,2,0,1,1,0,4,0,0,0.678030303,0.018939394,0.223484848,0.0,TropicalHumid,TropicalHumid,
Aspidosperma cuspa,Aspidosperma,APOCYNACEAE,1,2,3,1,2,0,1,2,0,5,1,2,0.128654971,0.052631579,0.456140351,0.0,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Aspidosperma cylindrocarpon,Aspidosperma,APOCYNACEAE,1,2,3,0,2,0,1,2,0,5,1,2,0.388286334,0.377440347,0.219088937,0.0,TropicalHumid,,Tropical dry forest
Aspidosperma eburneum,Aspidosperma,APOCYNACEAE,1,2,3,0,2,1,1,1,0,5,1,0,0.0,0.0,1.0,0.0,TropicalGrasslands,TropicalGrasslands,
Aspidosperma excelsum,Aspidosperma,APOCYNACEAE,1,2,3,0,2,1,1,1,1,5,1,2,0.940092166,0.01843318,0.034562212,0.004608295,TropicalHumid,TropicalHumid,Tropical humid forest
Aspidosperma macrocarpon,Aspidosperma,APOCYNACEAE,1,2,3,0,2,1,1,1,0,5,0,0,0.296536797,0.220779221,0.437229437,0.0,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Aspidosperma megalocarpon,Aspidosperma,APOCYNACEAE,1,2,3,0,2,2,1,1,1,5,1,0,0.736842105,0.197368421,0.004385965,0.00877193,TropicalHumid,TropicalHumid,
Aspidosperma olivaceum,Aspidosperma,APOCYNACEAE,0,2,3,0,2,1,1,1,1,5,0,1,0.908602151,0.0,0.080645161,0.010752688,TropicalHumid,TropicalHumid,Tropical humid forest
Aspidosperma parvifolium,Aspidosperma,APOCYNACEAE,1,2,3,0,2,0,1,2,0,4,0,0,0.745283019,0.041509434,0.132075472,0.003773585,TropicalHumid,TropicalHumid,
Aspidosperma pyricollum,Aspidosperma,APOCYNACEAE,0,2,3,0,2,1,1,1,1,5,0,2,0.721153846,0.009615385,0.076923077,0.086538462,TropicalHumid,TropicalHumid,
Aspidosperma quebracho-blanco,Aspidosperma,APOCYNACEAE,1,2,3,0,2,2,1,2,1,1,1,2,0.047008547,0.11965812,0.585470085,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Aspidosperma ramiflorum,Aspidosperma,APOCYNACEAE,0,2,3,0,2,1,1,1,0,5,1,0,0.872340426,0.042553191,0.085106383,0.0,TropicalHumid,TropicalHumid,
Aspidosperma spruceanum,Aspidosperma,APOCYNACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.764705882,0.047058824,0.090196078,0.0,TropicalHumid,TropicalHumid,
Aspidosperma tomentosum,Aspidosperma,APOCYNACEAE,1,2,3,0,2,1,1,1,0,4,1,0,0.202680067,0.087102178,0.656616415,0.0,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Astronium fraxinifolium,Astronium,ANACARDIACEAE,1,2,3,0,2,2,0,1,1,5,2,3,0.144761905,0.272380952,0.428571429,0.005714286,TropicalGrasslands,TropicalHumid,Tropical dry forest
Astronium graveolens,Astronium,ANACARDIACEAE,1,2,3,0,2,2,0,2,1,1,2,2,0.538297872,0.258510638,0.081914894,0.021276596,TropicalHumid,TropicalHumid,
Astronium lecointei,Astronium,ANACARDIACEAE,1,2,3,0,2,2,0,2,1,5,1,3,0.782352941,0.176470588,0.035294118,0.005882353,TropicalHumid,TropicalHumid,Tropical humid forest
Astronium ulei,Astronium,ANACARDIACEAE,1,2,3,0,2,1,1,1,1,5,1,3,0.916666667,0.0,0.083333333,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Avicennia germinans,Avicennia,ACANTHACEAE,1,2,1,0,2,1,1,1,1,1,1,1,0.132459016,0.161311475,0.003934426,0.420327869,Mangrove,TropicalHumid,Mangrove
Axinaea nitida,Axinaea,MELASTOMATACEAE,1,2,3,0,2,0,1,0,1,5,1,0,0.964285714,0.0,0.0,0.0,TropicalHumid,TropicalHumid,
Baccharis crispa,Baccharis,ASTERACEAE,1,2,1,0,2,0,1,1,1,5,1,4,0.657559199,0.001821494,0.27140255,0.005464481,TropicalHumid,TropicalHumid,Tropical humid forest
Baccharis dracunculifolia,Baccharis,ASTERACEAE,0,2,2,0,2,0,1,1,1,5,1,0,0.651843818,0.071583514,0.182212581,0.004338395,TropicalHumid,TropicalHumid,
Bagassa guianensis,Bagassa,MORACEAE,1,2,3,0,2,3,1,1,1,5,2,2,0.958333333,0.0,0.0,0.041666667,TropicalHumid,TropicalHumid,
Banara guianensis,Banara,SALICACEAE,1,2,3,0,2,1,0,1,0,5,2,4,0.924028269,0.019434629,0.030035336,0.01590106,TropicalHumid,TropicalHumid,Tropical humid forest
Banara nitida,Banara,SALICACEAE,1,2,3,0,2,1,0,1,0,5,2,4,0.968503937,0.0,0.023622047,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Batocarpus amazonicus,Batocarpus,MORACEAE,1,2,3,0,2,2,1,1,1,1,2,3,0.878504673,0.102803738,0.018691589,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bauhinia forficata,Bauhinia,LEGUMINOSAE,1,2,3,0,2,1,1,1,1,5,2,2,0.790821772,0.021344717,0.093916756,0.007470651,TropicalHumid,TropicalHumid,
Bauhinia rufa,Bauhinia,LEGUMINOSAE,0,2,3,0,2,1,1,2,1,4,1,0,0.311355311,0.236263736,0.448717949,0.0,TropicalHumid,,
Begonia parviflora,Begonia,BEGONIACEAE,1,2,3,0,0,1,1,1,1,5,3,1,0.950738916,0.019704433,0.0,0.0,TropicalHumid,TropicalHumid,
Beilschmiedia rigida,Beilschmiedia,LAURACEAE,0,2,3,0,2,2,1,1,1,4,3,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,
Beilschmiedia sulcata,Beilschmiedia,LAURACEAE,0,2,3,0,2,2,1,1,1,4,2,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,
Bellucia grossularioides,Bellucia,MELASTOMATACEAE,1,2,3,0,2,2,0,1,1,5,0,5,0.842873176,0.038159371,0.076318743,0.024691358,TropicalHumid,TropicalHumid,Tropical humid forest
Berberis cuatrecasasii,Berberis,BERBERIDACEAE,1,2,3,0,2,0,0,1,0,5,3,3,0.0,0.0,1.0,0.0,TropicalGrasslands,TropicalGrasslands,Tropical humid forest
Berberis vallensis,Berberis,BERBERIDACEAE,1,2,1,0,2,1,0,1,0,5,2,2,0.571428571,0.0,0.285714286,0.0,TropicalHumid,TropicalHumid,Tropical montane
Bernardia mexicana,Bernardia,EUPHORBIACEAE,0,2,3,0,2,1,1,2,1,5,1,4,0.198156682,0.322580645,0.0,0.0,TropicalDry,TropicalHumid,Tropical dry forest
Bertholletia excelsa,Bertholletia,LECYTHIDACEAE,1,2,3,0,2,2,1,1,0,2,1,3,0.980099502,0.0,0.014925373,0.004975124,TropicalHumid,TropicalHumid,Tropical humid forest
Bertiera guianensis,Bertiera,RUBIACEAE,1,2,3,0,2,0,1,1,0,5,1,4,0.892571429,0.028571429,0.053714286,0.012571429,TropicalHumid,TropicalHumid,Tropical humid forest
Bignonia aequinoctialis,Bignonia,BIGNONIACEAE,0,2,1,0,2,2,0,1,1,4,2,0,0.682119205,0.117880795,0.103311258,0.034437086,TropicalHumid,TropicalHumid,Tropical humid forest
Bignonia corymbosa,Bignonia,BIGNONIACEAE,1,2,3,0,2,2,0,1,1,5,2,0,0.540816327,0.12585034,0.034013605,0.040816327,TropicalHumid,TropicalHumid,Tropical dry forest
Bignonia magnifica,Bignonia,BIGNONIACEAE,1,2,3,0,2,2,0,1,1,5,1,5,0.428571429,0.095238095,0.333333333,0.0,TropicalHumid,,
Billia rosea,Billia,SAPINDACEAE,1,2,3,2,2,1,1,1,1,3,0,0,0.950732357,0.005326232,0.03861518,0.002663116,TropicalHumid,TropicalHumid,
Bixa arborea,Bixa,BIXACEAE,1,2,3,0,2,2,1,0,0,5,1,3,0.937984496,0.007751938,0.054263566,0.0,TropicalHumid,TropicalHumid,
Bixa orellana,Bixa,BIXACEAE,1,2,3,0,2,1,1,1,0,5,1,2,0.647058824,0.182773109,0.066526611,0.025210084,TropicalHumid,TropicalHumid,
Blakea subconnata,Blakea,MELASTOMATACEAE,1,2,3,0,2,1,0,2,1,1,0,1,0.888888889,0.101010101,0.0,0.01010101,TropicalHumid,TropicalHumid,Tropical humid forest
Blastemanthus grandiflorus,Blastemanthus,OCHNACEAE,1,2,1,0,2,1,1,2,1,1,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bocageopsis multiflora,Bocageopsis,ANNONACEAE,1,2,3,0,2,2,1,2,0,1,2,2,0.971810089,0.0,0.028189911,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bocconia frutescens,Bocconia,PAPAVERACEAE,1,2,3,0,2,2,1,1,1,5,3,4,0.706140351,0.070175439,0.0,0.0,TropicalHumid,TropicalHumid,
Boehmeria caudata,Boehmeria,URTICACEAE,1,2,3,0,2,1,0,1,1,5,2,3,0.872888889,0.021333333,0.031111111,0.004444444,TropicalHumid,TropicalHumid,
Bonnetia celiae,Bonnetia,BONNETIACEAE,1,2,3,1,2,1,1,2,1,5,1,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bonnetia crassa,Bonnetia,BONNETIACEAE,1,2,3,0,2,2,1,2,1,5,1,3,0.769230769,0.0,0.230769231,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bothriospora corymbosa,Bothriospora,RUBIACEAE,1,2,3,0,2,1,0,1,1,5,2,3,0.95480226,0.0,0.04519774,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Bougainvillea spectabilis,Bougainvillea,NYCTAGINACEAE,1,2,3,0,2,2,1,2,1,0,1,1,0.70754717,0.047169811,0.103773585,0.004716981,TropicalHumid,TropicalHumid,Tropical dry forest
Bourreria ovata,Bourreria,BORAGINACEAE,1,2,3,0,2,1,1,1,1,5,1,2,0.411764706,0.0,0.0,0.588235294,TropicalHumid,,Tropical dry forest
Bourreria purpusii,Bourreria,BORAGINACEAE,1,2,3,0,2,0,1,2,0,1,1,3,0.008130081,0.951219512,0.0,0.008130081,TropicalDry,TropicalHumid,Tropical dry forest
Bravaisia integerrima,Bravaisia,ACANTHACEAE,1,2,3,0,2,2,0,1,1,5,2,1,0.513742072,0.34038055,0.050739958,0.025369979,TropicalHumid,,
Brosimum alicastrum,Brosimum,MORACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.698100851,0.212180747,0.009823183,0.026850033,TropicalHumid,TropicalHumid,
Brosimum costaricanum,Brosimum,MORACEAE,1,2,3,0,2,2,0,2,1,5,2,3,0.969924812,0.022556391,0.0,0.007518797,TropicalHumid,TropicalHumid,Tropical humid forest
Brosimum guianense,Brosimum,MORACEAE,1,2,3,0,2,1,1,2,1,5,1,3,0.893353941,0.045852653,0.028335909,0.014940752,TropicalHumid,TropicalHumid,Tropical humid forest
Brosimum lactescens,Brosimum,MORACEAE,1,2,3,0,2,2,1,1,1,4,1,4,0.867850099,0.082182774,0.037475345,0.002629849,TropicalHumid,TropicalHumid,Tropical humid forest
Brosimum potabile,Brosimum,MORACEAE,1,2,3,0,2,2,1,1,1,5,2,2,0.987447699,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Brosimum rubescens,Brosimum,MORACEAE,1,2,3,0,2,2,1,1,1,1,1,3,0.977559607,0.001402525,0.014025245,0.005610098,TropicalHumid,TropicalHumid,Tropical humid forest
Brosimum utile,Brosimum,MORACEAE,1,2,3,0,2,2,1,1,1,5,2,3,0.935953421,0.014556041,0.040756914,0.001455604,TropicalHumid,TropicalHumid,Tropical humid forest
Buchenavia fanshawei,Buchenavia,COMBRETACEAE,1,2,3,0,2,3,1,2,1,4,0,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Buchenavia grandis,Buchenavia,COMBRETACEAE,1,2,3,0,2,2,1,2,1,4,0,2,0.906832298,0.068322981,0.02484472,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
