sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Manilkara huberi,Manilkara,SAPOTACEAE,1,2,1,0,2,1,1,2,0,1,1,4,0.993902439,0.0,0.006097561,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Manilkara jaimiqui,Manilkara,SAPOTACEAE,1,2,1,0,2,2,1,2,0,2,1,4,0.413793103,0.034482759,0.0,0.103448276,TropicalHumid,TropicalHumid,
Mansoa alliacea,Mansoa,BIGNONIACEAE,1,2,3,0,2,2,1,2,0,5,1,4,0.931034483,0.025862069,0.017241379,0.025862069,TropicalHumid,TropicalHumid,Tropical humid forest
Mansoa difficilis,Mansoa,BIGNONIACEAE,0,2,1,0,2,3,0,1,1,5,2,3,0.717712177,0.046125461,0.169741697,0.0,TropicalHumid,TropicalHumid,
Maquira coriacea,Maquira,MORACEAE,1,2,3,0,2,2,1,1,0,1,1,4,0.686346863,0.191881919,0.103321033,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Maquira sclerophylla,Maquira,MORACEAE,1,2,3,0,2,2,1,1,1,5,2,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Marcetia taxifolia,Marcetia,MELASTOMATACEAE,1,2,3,0,2,2,0,1,1,5,2,2,0.368485592,0.07786634,0.302268547,0.014101778,TropicalHumid,,
Marcgravia rectiflora,Marcgravia,MARCGRAVIACEAE,1,2,3,0,1,0,1,1,1,5,0,1,0.9375,0.020833333,0.020833333,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Marcgraviastrum mixtum,Marcgraviastrum,MARCGRAVIACEAE,1,2,3,0,2,2,0,1,1,5,3,1,0.98540146,0.00729927,0.0,0.00729927,TropicalHumid,TropicalHumid,Tropical humid forest
Margaritaria nobilis,Margaritaria,PHYLLANTHACEAE,1,2,3,0,2,2,0,1,1,5,2,1,0.704615385,0.152087912,0.047912088,0.020659341,TropicalHumid,TropicalHumid,
Marila grandiflora,Marila,CALOPHYLLACEAE,1,2,3,0,2,2,1,1,0,5,1,3,0.5,0.0,0.5,0.0,TropicalHumid,,
Marlierea montana,Marlierea,MYRTACEAE,1,2,3,1,2,1,1,1,0,5,2,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,
Martinella obovata,Martinella,BIGNONIACEAE,1,2,3,0,2,2,1,2,0,1,1,4,0.881834215,0.035273369,0.042328042,0.014109347,TropicalHumid,TropicalHumid,Tropical humid forest
Matayba guianensis,Matayba,SAPINDACEAE,0,2,3,0,2,3,0,1,1,4,2,5,0.402749141,0.105841924,0.393814433,0.032989691,TropicalHumid,,
Matayba opaca,Matayba,SAPINDACEAE,1,2,3,0,2,1,0,1,1,5,1,2,0.96097561,0.0,0.019512195,0.014634146,TropicalHumid,TropicalHumid,Tropical humid forest
Matayba scrobiculata,Matayba,SAPINDACEAE,1,2,3,0,2,2,1,1,1,5,0,0,0.515151515,0.121212121,0.292929293,0.01010101,TropicalHumid,TropicalHumid,Tropical humid forest
Mauria heterophylla,Mauria,ANACARDIACEAE,0,2,3,0,2,1,1,1,1,5,0,4,0.907869482,0.034548944,0.044145873,0.0,TropicalHumid,TropicalHumid,
