Species
Parkinsonia aculeata
Parkinsonia praecox
Paubrasilia echinata
Peltophorum dubium
Pterogyne nitens
Recordoxylon eciosum
Schizolobium var
Schizolobium parahybum
Sclerolobium albiflorum
Sclerolobium aureum
Sclerolobium guianense
Sclerolobium melinonii
Sclerolobium micropetalum
Sclerolobium subbullatum
Senna galeottiana
Senna macranthera
Senna nitida
Senna racemosa
Stahlia monoerma
Tachigali froesii
Tachigali melanocarpa
Tachigali melinonii
Tachigali myrmecophila
Tachigali paniculata
Tachigali rigida
Vouacapoua americana
Vouacapoua macropetala
Bauhinia divaricata
Bauhinia tarapotensis
Schnella outimouta
Brownea coccinea
Brownea macrophylla
Copaifera duckei
Copaifera guianensis
Copaifera langsdorffii
Copaifera lucens
Copaifera officinalis
Copaifera panamensis
Copaifera pubiflora
Copaifera trapezifolia
Crudia amazonica
Crudia aromatica
Crudia glaberrima
Dicymbe bernardii
Dicymbe corymbosa
Eperua falcata
Eperua glabriflora
Eperua grandiflora
Eperua rubiginosa
Goniorrhachis marginata
Guibourtia chodatiana
Guibourtia hymenaefolia
Heterostemon conjugatus
Heterostemon mimosoides
Hymenaea courbaril
Hymenaea oblongifolia
Hymenaea parvifolia
Hymenaea stigonocarpa
Macrolobium acaciifolium
Macrolobium angustifolium
Macrolobium limbatum
Paloue macrostachya
Peltogyne floribunda
Peltogyne maranhensis
Peltogyne paniculata
Peltogyne porphyrocardia
Peltogyne venosa
Prioria copaifera
Apuleia leiocarpa
Dialium guianense
Dicorynia guianensis
Martiodendron parviflorum
Poeppigia procera
Abarema jupunba
Abarema laeta
Abarema racemiflora
Acaciella angustissima
Albizia niopoides
Albizia occidentalis
Albizia pistaciifolia
Anadenanthera colubrina
Anadenanthera peregrina
Balizia pedicellaris
Calliandra foliolosa
Calliandra laxa
Calliandra trinervia
Cedrelinga cateniformis
Chloroleucon mangense
Cojoba arborea
Cojoba zanonii
Dinizia excelsa
Dinizia jueirana-facao
Ebenopsis ebano
Enterolobium contortisiliquum
Enterolobium cyclocarpum
Enterolobium schomburgkii
Havardia acatlensis
Havardia leiocalyx
Havardia pallens
Hydrochorea corymbosa
Hydrochorea gonggrijpii
Hydrochorea marginata
Inga alba
Inga capitata
Inga cinnamomea
Inga edulis
Inga heterophylla
Inga ingoides
Inga laevigata
Inga lateriflora
Inga nobilis
Inga pezizifera
Inga rubiginosa
Inga ectabilis
Inga lendens
Inga stipularis
Inga striata
Inga thibaudiana
Inga umbellifera
Inga velutina
Inga vera
Lachesiodendron viridiflorum
Leucaena esculenta
Leucaena leucocephala
Leucaena trichodes
Lysiloma divaricatum
Lysiloma latisiliquum
Lysiloma sabicu
Marlimorimia psilostachya
Microlobius foetidus
Mimosa arenosa
Mimosa eriocarpa
Mimosa ophthalmocentra
Mimosa polyantha
Mimosa tenuiflora
Neltuma juliflora
Parapiptadenia rigida
Parkia multijuga
Parkia nitida
Parkia pendula
Parkia ulei
Pentaclethra macroloba
Piptadenia gonoacantha
Pithecellobium dulce
Pithecellobium unguis-cati
Pityrocarpa leucoxylon
Plathymenia reticulata
Prosopis pallida
Pseudosamanea guachapele
Samanea saman
Senegalia berlandieri
Senegalia bonariensis
Senegalia gaumeri
Senegalia greggii
Senegalia polyphylla
Senegalia rostrata
Acacia wrightii
Stryphnodendron adstringens
Stryphnodendron guianense
Stryphnodendron microstachyum
Stryphnodendron obovatum
Stryphnodendron paniculatum
Stryphnodendron polyphyllum
Stryphnodendron polystachyum
Stryphnodendron pulcherrimum
Vachellia bilimekii
Vachellia choriophylla
Vachellia macracantha
Zygia cauliflora
Zygia latifolia
Zygia longifolia
Zygia racemosa
Acosmium praeclarum
Aldina insignis
Aldina aff
Alexa grandiflora
Alexa imperatricis
Amburana cearensis
Andira coriacea
Andira cubensis
Andira cujabensis
Andira fraxinifolia
Andira inermis
Andira surinamensis
Apoplanesia cryptopetala
Behaimia cubensis
Bocoa prouacensis
Bowdichia nitida
Brya ebenus
Centrolobium ochroxylum
Centrolobium paraense
Clathrotropis brachypetala
Clathrotropis nitida
Coursetia ferruginea
Dahlstedtia hylobia
Dahlstedtia pentaphylla
Dalbergia cearensis
Dalbergia decipularis
Dalbergia frutescens
Dalbergia granadillo
Dalbergia miscolobium
Dalbergia nigra
Dalbergia retusa
Dalbergia ruceana
Dalbergia stevensonii
Dalbergia tucurensis
Dermatophyllum secundiflorum
Diphysa carthagenensis
Diplotropis purpurea
Dipteryx alata
Dipteryx odorata
Dipteryx oleifera
Dussia discolor
Erythrina crista-galli
Erythrina edulis
Erythrina fusca
Erythrina herbacea
Erythrina poeppigiana
Eysenhardtia polystachya
Fissicalyx fendleri
Geoffroea inosa
Gliricidia sepium
Harpalyce arborescens
Harpalyce formosa
Hebestigma cubense
Hesperothamnus pentaphyllus
Hymenolobium excelsum
Hymenolobium modestum
Lecointea amazonica
Leptolobium elegans
Lonchocarpus castilloi
Lonchocarpus hedyosmus
Lonchocarpus heptaphyllus
Lonchocarpus lanceolatus
Lonchocarpus oaxacensis
Lonchocarpus sericeus
Machaerium aculeatum
Machaerium acutifolium
Machaerium inundatum
Machaerium lunatum
Machaerium millei
Machaerium scleroxylon
Monopteryx uauca
Muellera campestris
Myrospermum frutescens
Myroxylon balsamum
Olneya tesota
Ormosia coccinea
Ormosia coutinhoi
Piscidia carthagenensis
Piscidia communis
Platycyamus regnellii
Platymiscium pinnatum
Platymiscium pleiostachyum
Platymiscium trinitatis
Platypodium elegans
Poecilanthe hostmannii
Pterocarpus acapulcensis
Pterocarpus dubius
Pterocarpus officinalis
Pterocarpus rohrii
Pterodon abruptus
Pterodon emarginatus
Sophora tomentosa
Spirotropis longifolia
Swartzia arborescens
Swartzia benthamiana
Swartzia laevicarpa
Swartzia leblondii
Swartzia leiocalycina
Swartzia panacoco
Swartzia polyphylla
Swartzia recurva
Sweetia fruticosa
Sweetia nitens
Tabaroa caatingicola
Taralea oppositifolia
Vatairea guianensis
Vataireopsis eciosa
Zollernia ilicifolia
Zollernia paraensis
Bonyunia antoniifolia
Bonyunia aquatica
Strychnos pseudoquina
Pehria compacta
Magnolia schiedeana
Bunchosia odorata
Byrsonima icata
Byrsonima stipulacea
Bernoullia flammea
Bombax ceiba
Catostemma albuquerquei
Catostemma altsonii
Catostemma commune
Cavanillesia arborea
Cavanillesia platanifolia
Ceiba insignis
Ceiba parvifolia
Ceiba pentandra
Ceiba samauma
Chiranthodendron pentadactylon
Eriotheca crassa
Eriotheca globosa
Eriotheca gracilipes
Eriotheca pentaphylla
Eriotheca pubescens
Gyranthera caribensis
Huberodendron swietenioides
Matisia cordata
Matisia ochrocalyx
Ochroma pyramidale
Pachira aquatica
Pachira brevipes
Pachira insignis
Pachira nervosa
Phragmotheca leucoflora
Pseudobombax ellipticum
Pseudobombax grandiflorun
Quararibea asterolepis
Quararibea funebris
Quararibea guianensis
Scleronema micranthum
Carpodiptera ameliae
Guazuma ulmifolia
Herrania albiflora
Theobroma bernoullii
Theobroma cacao
Theobroma obovatum
Theobroma subincana
Waltheria Indica
Apeiba aera
Apeiba glabra
Apeiba membranacea
Apeiba petoumo
Apeiba tibourbou
Goethalsia meiantha
Heliocarpus americanus
Heliocarpus donnellsmithii
Luehea candida
Luehea grandiflora
Luehea paniculata
Luehea eciosa
Lueheopsis rosea
Lueheopsis rugosa
Mollia lepidota
Trichospermum mexicanum
Triumfetta lappula
Vasivaea alchorneoides
Reevesia clarkii
Abutilon densiflorum
Bakeridesia integerrima
Hampea nutricia
Hibiscus elatus
Hibiscus tiliaceus
Malacothamnus fasciculatus
Pavonia leucantha
Robinsonella discolor
Robinsonella mirandae
Thespesia grandiflora
Uladendron codesuri
Wercklea insignis
Hildegardia cubensis
Pterygota amazonica
Sterculia apetala
Sterculia excelsa
Sterculia pruriens
Sterculia eciosa
Mortoniodendron anisophyllum
Norantea guianensis
Axinaea macrophylla
Bellucia arborescens
Bellucia egensis
Chalybea macrocarpa
Charianthus alpinus
Henriettea caudata
Henriettea williamsii
Meriania excelsa
Miconia amoena
Miconia breviflora
Miconia chamissois
Miconia conorufescens
Miconia corymbosa
Miconia laxivenula
Miconia mayeta
Miconia neoamygdalina
Miconia pachyantha
Miconia rubescens
Miconia sulcicaulis
